Membership No  Date Joined  Active  
    21538      2019-11-15   no    
    47770      2015-10-8    no    
    32051      2018-6-4     no    
    36670      2018-10-23   no    
    80540      2018-11-23   no    
    29462      2018-12-5    no    
    47914      2016-11-13   no    
    32711      2018-1-19    no    
    19037      2019-10-17   no    
    73856      2015-3-20    no    
    46024      2020-5-9     no    
    70234      2018-5-24    no    
    73856      2015-3-20    no    
    46024      2020-5-9     no    
    70234      2018-5-24    no    
