Membership No  Date Joined  Active  
    38791      2016-8-7     yes   
    68351      2017-8-18    yes   
    91603      2019-3-7     yes   
    24036      2020-9-21    yes   
    80455      2020-6-25    yes   
    37872      2016-2-3     yes   
    13904      2015-7-22    yes   
    89880      2015-10-10   yes   
    72588      2018-5-19    yes   
    49047      2015-10-4    yes   
    43064      2020-2-17    yes   
    37872      2016-2-3     yes   
    13904      2015-7-22    yes   
    89880      2015-10-10   yes   
    72588      2018-5-19    yes   
    49047      2015-10-4    yes   
    43064      2020-2-17    yes   
